Name,SpecScore,rating,price,tag,sim,processor,storage,battery,display,camera,memoryExternal,version,fm,RAM_GB,Storage_GB,Battery_mAh,Screen_inches,FrontCamera_MP,BackCamera_MP,Processor_Speed_GHz,Processor_Name,Processor_Name_Cleaned,ProcessorScore,img
Oppo Reno 14F,68,4.0,34990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 45W Fast Charging,"6.57 inches, 1080 x 2372 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,Memory Card Supported,Android v15,,8.0,256.0,6000.0,6.57,32.0,60.0,2.2,Snapdragon 6 Gen1,Snapdragon 6 Gen1,0.4362,https://cdn1.smartprix.com/rx-iTvelPVTP-w280-h280/oppo-reno-14f.webp
Honor Power,67,4.5,23990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor","8 GB RAM, 256 GB inbuilt",8000 mAh Battery with 66W Fast Charging,"6.78 inches, 1224 x 2700 px, 120 Hz Display with Punch Hole",50 MP + 5 MP Dual Rear & 16 MP Front Camera,,Android v15,No FM Radio,8.0,256.0,8000.0,6.78,16.0,55.0,2.63,Snapdragon 7 Gen3,Snapdragon 7 Gen3,0.3511,https://cdn1.smartprix.com/rx-ijMmyOoCx-w280-h280/honor-power.webp
Xiaomi Redmi 14 5G,67,4.75,14999,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 4s Gen2, Octa Core Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 44W Fast Charging,"6.82 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 2 MP Dual Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v15,,8.0,128.0,5000.0,6.82,16.0,110.0,,Snapdragon 4s Gen2,Snapdragon 4s Gen2,0.4468,https://cdn1.smartprix.com/rx-iAKoWiV5H-w280-h280/xiaomi-redmi-14-5g.webp
Infinix Hot 50 Pro Plus,67,4.1,17990,UPCOMING,"Dual Sim, 3G, 4G, Wi-Fi, NFC","Helio G100, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.78 inches, 1080 x 2436 px, 120 Hz Display",50 MP + 2 MP Triple Rear & 13 MP Front Camera,Memory Card Supported,Android v14,,8.0,128.0,5000.0,6.78,13.0,52.0,2.2,Helio G100,Helio G100,0.6702,https://cdn1.smartprix.com/rx-iHh5ZRgLd-w280-h280/infinix-hot-50-pro-p.webp
Poco M8 Pro 5G,67,4.5,17990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor","6 GB RAM, 128 GB inbuilt",5500 mAh Battery with 65W Fast Charging,"6.67 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v15,,6.0,128.0,5500.0,6.67,16.0,60.0,2.5,Dimensity 7300,Dimensity 7300,0.883,https://cdn1.smartprix.com/rx-iaik4vJ3u-w280-h280/poco-m8-pro-5g.webp
Vivo Y300 Pro 5G,67,4.3,21990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",6500 mAh Battery with 80W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,,Android v14,No FM Radio,8.0,128.0,6500.0,6.77,32.0,52.0,2.2,Snapdragon 6 Gen1,Snapdragon 6 Gen1,0.4362,https://cdn1.smartprix.com/rx-iknJqWWZx-w280-h280/vivo-y300-pro-5g.webp
OnePlus Nord 5,67,4.75,34999,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 100W Fast Charging,"6.57 inches, 1264 x 2780 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,,Android v15,No FM Radio,8.0,128.0,7000.0,6.57,50.0,58.0,3.0,Snapdragon 8s Gen3,Snapdragon 8s Gen3,0.1596,https://cdn1.smartprix.com/rx-iFvGFPSsu-w280-h280/oneplus-nord-5.webp
Xiaomi 15 CIVI,67,4.55,39990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.55 inches, 1236 x 2750 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 32 MP + 32 MP Dual Front Camera,,Android v15,No FM Radio,8.0,256.0,5000.0,6.55,32.0,112.0,3.2,Snapdragon 8s Gen4,Snapdragon 8s Gen4,0.1489,https://cdn1.smartprix.com/rx-ievoaXzz3-w280-h280/xiaomi-15-civi.webp
Motorola Moto G75 5G,67,4.25,32990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 6 Gen3, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 30W Fast Charging,"6.78 inches, 1080 x 2388 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Memory Card (Hybrid),Android v14,,8.0,256.0,5000.0,6.78,16.0,58.0,2.4,Snapdragon 6 Gen3,Snapdragon 6 Gen3,0.4255,https://cdn1.smartprix.com/rx-icuVF247n-w280-h280/motorola-moto-g75-5g.webp
Fairphone 6,67,4.35,59990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 7s Gen3 SOC, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",4415 mAh Battery with 30W Fast Charging,"6.31 inches, 1116 x 2484 px, 120 Hz Display with Punch Hole",50 MP + 13 MP Dual Rear & 32 MP Front Camera,Memory Card Supported,Android v15,,8.0,256.0,4415.0,6.31,32.0,63.0,2.5,Snapdragon 7s Gen3 SOC,Snapdragon 7s Gen3 SOC,0.2766,https://cdn1.smartprix.com/rx-iMof0xHlV-w280-h280/fairphone-6.webp
